dam_name,nearest_city,state,year_of_completion,river,height,length,volume_content,gross_storage_capacity,reservoir_area,effective_storage_capacity,designed_spillway
Srisailam H.E.Project,Hyderabad,Andhra Pradesh,1984,Krishna,145,512,1953,8.72,616.42,4.25,38369
Somasila,Nellore,Andhra Pradesh,1989,Pennar,39,760.75,1875,2.21,212.28,NULL,22375
Nagarjunasagar Dam,Hyderabad,Telangana,1974,Krishana,124.66,4865,7985,11.56,284.9,5.73,42476
Sriamasagar,Nizamabad,Telangana,1977,Godavari,43,15600,13095,3.17,450.82,2.32,45300
Manimata  (Hasdeo) Bango,Bilaspur,Chhattisgarh,1990,Hasdeo,87,2509,NULL,3.42,188.47,3.05,42842
Ukai,Fort Songadh,Gujarat,1972,Tapi,68.58,4926.79,23240,7.5,600.95,6.62,1125000
Kadana,Samtrampur,Gujarat,1979,Mahi,66,406,2040,1.54,16.6,1.2,49497
Karjan,Rajpipla,Gujarat,1987,Karjan,100,903,1436.12,0.63,36.77,0.58,19625
Bhakra Dam,Nangal,Himachal Pradesh,1963,Sutlej,226,518,4130,9.62,168.35,7.19,8212
Pong Dam,Mukerian,Himachal Pradesh,1974,Beas,133,1951,35500,8.57,260,7.29,12375
Chamera I (NHPC),Banikhet,Himachal Pradesh,1994,Ravi,140,295,1342,0.39,9.5,0.11,21760
SALAL (Rockfill Dam) NHPC,Jammu,Jammu & Kashmir,1987,Chinab,118,630,8000,0.28,93.56,0.01,NULL
SALAL (Concrete Dam) NHPC,Jammu,Jammu & Kashmir,1987,Chinab,112.91,450.81,1450,0.28,93.56,0.01,22427
Baglihar,Udampur,Jammu & Kashmir,2009,Chenab,143,362.86,2600,0.48,8.08,0.15,16500
Maithon Dam,Asansol,Jharkhand,1957,Barakar,56,4426,3719,1.09,107.16,0.8,13592
Panchet Hill,Asansol,Jharkhand,1959,Damodar,48,6777,5704,1.36,153.38,0.5,16608
Tenughat,Hazaribagh,Jharkhand,1978,Damodar,64.87,6494,NULL,1.02,64.78,1,16000
Krishnarajasagar,Mysore,Karnataka,1931,Cauvery,42.62,2621,849.45,1.4,10.62,1.28,NULL
Tungabhadra,Hospet,Karnataka,1953,Tunga-bhadra,49.39,2443,1164,3.16,349.2,3.16,18408
Bhadra Dam,Shimoga,Karnataka,1965,Bhadra,76.81,1708,2525,2.03,117.25,1.79,3020.95
Linganamakki Dam,Shimoga,Karnataka,1965,Sharavathy,61.26,2749.29,4080,4.44,317.28,4.29,6834
Malaprabha,Belgaum,Karnataka,1972,Mala-prabha,43.13,154.52,182,1.07,129.5,0.97,5238.6
